,Standard name,S score (FLC-NoDrug),RNA Seq A17 in vs. out
486,C1_06830W,0.784999367789,4.385
487,C1_06840C,3.4094902327,-0.429
488,C1_06860W,-3.91544035035,0.242
489,C1_06870C,0.36996186851,1.332
490,C1_06880C,1.20003686707,-1.022
491,C1_06900C,-4.42931975301,1.016
492,C1_06910C,2.14255137241,-0.553
493,C1_06920C,-0.407645710154,1.135
494,C1_06930W,-6.56372878644,0.493
495,C1_06940C,0.106927462676,-2.028
496,C1_06950C,0.36996186851,
497,C1_06980C,-0.452039829512,0.4
498,C1_06990C,-2.46292814565,
499,C1_07010W,-0.928696447055,-0.214
500,C1_07020C,0.858999949233,-0.699
501,C1_07030C,-6.19228055571,-0.69
502,C1_07040C,-2.79996313293,2.549
503,C1_07050C,6.13372752202,-1.167
504,C1_07060C,3.27042619496,-0.697
505,C1_07080W,0.28249902726,-0.714
506,C1_07090C,-2.22995097368,-0.303
507,C1_07100C,-2.06299753877,0.502
