S score (FLC+Geld-FLC),RNA Seq A17 in vs. out
0.206983836800003,0.974
-6.6985703112,0.301
1.2161885277,-0.478
-4.320058688,-0.215
-7.4792572828,0.97
-0.489116945599999,-1.676
-7.2333470548,-1.699
-2.6541761919,0.228
-2.9981305931,0.236
-1.5162615854,0.355
0.1982666197,-0.336
3.5073974401,-0.577
1.8092243289,-1.149
-3.4131680923,-0.97
-0.413168092299998,-0.994
-4.2632726619,-0.536
0.1382418486,0.843
-0.413168092299998,0.377
1.8255044989,-0.494
-5.3673644027,0.023
-0.297690875000001,-3.589
1.4667232415,1.921
-4.5830930938,1.575
-3.7895439713,0.344
-0.0426770321000003,0.597
-2.4871686738,-0.374
-0.413168092299998,0.17
-2.5286453098,0.637
1.1717944084,1.169
-0.758664658399997,-1.01
-5.1136078105,0.49
-5.4575622117,0.541
-0.255626815399999,0.67
-0.166007765900002,0.483
-1.1913563493,-0.909
-1.2780085091,-0.841
-0.367364402699998,1.275
-1.1501336865,-0.239
0.9404688622,-0.035
1.5619142754,1.31
-6.967756944,1.456
-2.6355605137,-0.056
-6.7530180952,0.566
-2.6256177105,0.425
-3.7350961872,-0.708
-5.5424511093,0.152
-2.4761778899,0.35
-1.106906939,0.456
-9.6201824125,0.332
-1.7086239759,-1.228
-1.2450453336,0.972
-6.1680555945,-0.884
-3.2771065429,-0.966
-2.3169527772,2.462
1.5197177118,-0.773
-0.266326704000001,0.4
-1.5029227451,0.193
-1.6709658499,0.317
-6.2205230144,-0.29
-0.350704005500003,-0.211
-7.473864024,0.305
-0.911418960000002,-0.567
-3.7350961872,0.573
-0.9259808074,0.589
-0.8153919059,2.407
-8.2397165796,1.173
-7.0278779365,1.988
-0.531881867600001,0.228
-5.1501336866,-1.165
-6.770720097,-0.214
-8.2172991135,-0.221
-3.782401902,3.671
-5.1945278059,3.582
1.511424505,3.19
-3.3453527081,-0.837
-6.0855934343,-0.402
-0.462750121300001,-1.602
-0.980059020199999,-2.737
-0.918403400700001,-0.252
-9.4438352286,1.952
-6.679954633,-3.637
-1.7200068512,-1.445
-3.665086466,-0.939
-1.1267727446,-0.68
-9.6658335248,0.696
-1.3395452293,1.294
-1.3055591183,-0.436
-0.377248518200002,-1.221
0.678163037699999,-2.76
-1.0570242821,-3.055
2.1586190195,-0.763
-1.9797733235,-0.439
-2.1774542926,0.629
-0.706558144099999,0.473
-1.2365977773,-0.206
-6.2958111417,-1.155
-3.158307618,-1.076
-6.7530180952,0.144
-0.1447705018,-0.463
-2.2747846082,-0.289
-1.4294699047,0.175
-0.7141972939,-0.83
-6.1410885469,-1.084
-0.413168092299998,-0.404
-0.413168092299998,0.179
-0.413168092299998,-0.404
0.8274865354,3.523
3.0641536852,0.3
-1.8918542681,0.045
4.4448129027,1.799
-6.6752629377,-1.371
-5.6610956058,-0.697
4.7161149246,-1.275
-0.413168092299998,-0.747
-0.6754647354,-1.2
-9.6869636916,-0.727
2.9266819105,-0.617
-8.2010706517,-1.894
-8.5980434353,-0.612
-0.180507335600002,0.169
-8.0570242821,0.146
-3.1654253385,-0.017
-7.2711490875,-1.73
-6.0570242821,-1.948
-2.3673644028,0.223
-2.2741428529,-0.517
-3.9847100773,1.258
-1.6448457914,-0.59
-8.0855934343,-1.559
-2.4367315642,-1.345
-8.0926481918,-0.34
-0.413168092299998,-0.246
-5.1680555945,-0.553
0.669294067799999,0.095
-0.413168092399999,0.42
-3.277354237,-0.762
-5.8140475286,-0.389
-1.9667664222,-2.123
-8.9868152798,-1.31
-1.8716822579,-1.343
-3.2766660925,-1.612
1.088653173,1.043
0.647562255200001,-0.581
-2.2887207215,-1.27
-0.3470011684,-0.419
-7.5527194447,-0.52
0.994579371,1.108
1.3764121279,1.143
-3.7854012692,0.475
-5.1832419983,2.36
-1.69165601889,-0.678
0.0788127269000007,-0.626
0.2500671132,-0.02
-3.4131680923,3.588
-6.9209627325,0.984
-0.8958625417,1.305
-0.413168092299998,-0.447
-5.8561115882,-1.043
-2.0090189092,-0.261
-7.6029926512,4.198
-0.726051047599999,0.269
-8.2140679923,0.753
-5.9981305931,-0.184
-3.5235920821,0.102
-4.1136078105,-0.141
-7.7618962466,0.35
-3.872599711,-4.317
-4.8054855151,-0.962
-7.5527194447,-0.002
-7.2333470548,-0.668
-7.6029926512,-1.054
-3.7350961872,-0.353
